"","Hospital.Name","Profile.Page","File.Number","Discharges","X..of.Discharges","LOS","X..of.LOS","Avg..LOS","Charges","X..of.Charges","Avg.Charges","Discharges_0_24_female","Discharges_0_24_male","Discharges_25_54_female","Discharges_25_54_male","Discharges_55_female","Discharges_55_male","county","drop","Discharges_0_24_female_fw","Discharges_25_54_female_fw","Discharges_55_female_fw","Discharges_0_24_male_fw","Discharges_25_54_male_fw","Discharges_55_male_fw","Discharges_0_24_female_cw","Discharges_25_54_female_cw","Discharges_55_female_cw","Discharges_0_24_male_cw","Discharges_25_54_male_cw","Discharges_55_male_cw"
"96","HOLMES REGIONAL MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9842",100019,8079,"1.2552067230233096502853307500",29150,"1.0748085163181005497193883300",3.60811981680901,398528096,"1.0096758264985624360562622800",49328.8892189627,1055,898,2463,872,1342,1449,"Brevard",0,0.130585468498577,0.304864463423691,0.166109667038,0.111152370342864,0.107934150266122,0.179353880430746,0.639781685870224,0.539539978094195,0.420294393986846,0.689708141321045,0.418828049951969,0.425300851188729
"97","HOLY CROSS HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9888",100073,4299,"0.6679209929789835606605566200",15857,"0.5846737098887176815403204400",3.6885322167946,188867948,"0.4784992661997600095121711800",43932.9955803675,304,310,1051,669,803,1162,"Broward",0,0.070714119562689,0.244475459409165,0.186787625029077,0.0721097929751105,0.155617585484997,0.270295417538963,0.0352586406866156,0.0493241974845129,0.0941604127579737,0.0392703318976438,0.0717657155116928,0.119008603031544
"98","HOMESTEAD HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9929",100125,1576,"0.2448577541137190257271545100",4868,"0.1794911786427620403442189500",3.08883248730964,62728602,"0.1589236836879108684561194100",39802.4124365482,156,125,487,279,259,270,"Miami-Dade",0,0.0989847715736041,0.309010152284264,0.164340101522843,0.0793147208121827,0.177030456852792,0.171319796954315,0.0197518359078248,0.0210703932851642,0.025106630476929,0.0162232316677482,0.0248840528005708,0.0220516171185887
"99","INDIAN RIVER MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9913",100105,2611,"0.4056621801972845026482236200",7871,"0.2902167352294946630134238600",3.01455381080046,75182405,"0.1904755465635342633041573900",28794.4867866718,375,282,651,282,476,545,"Indian River",0,0.143623132899272,0.249329758713137,0.18230563002681,0.108004595940253,0.108004595940253,0.208732286480276,1,0.775923718712753,0.662952646239554,1,0.699751861042184,0.738482384823848
"100","JACKSON HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9943",100142,344,"0.0534461087659386705901910900",1206,"0.0444672065413251891238964800",3.50581395348837,3995253,"0.0101220225508162442538081200",11614.1075581395,54,0,112,44,60,58,"Jackson",0,0.156976744186047,0.325581395348837,0.174418604651163,0,0.127906976744186,0.168604651162791,1,1,1,NA,1,1
"101","JACKSON MEMORIAL HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9845",100022,7487,"1.1632296986354151939208158600",51424,"1.8960875863856604689114862900",6.86843862695339,585113137,"1.4823913197719480057718227500",78150.5458795245,993,962,2101,1387,869,1175,"Miami-Dade",0,0.132629891812475,0.280619740884199,0.116067850941632,0.128489381594764,0.185254441031121,0.156938693735809,0.125728032413269,0.090901224419158,0.0842380767739434,0.12485399091499,0.123706742775598,0.0959653707938582
"102","JACKSON NORTH MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9921",100114,1393,"0.2164256671830016515469075100",5241,"0.1932443030539679238792217600",3.76238334529792,54954166,"0.1392270545853539994138837900",39450.2268485284,113,79,534,232,200,235,"Miami-Dade",0,0.0811198851399856,0.383345297918162,0.143575017946877,0.0567121320890165,0.166547020818378,0.168700646087581,0.0143074195998987,0.0231038809328084,0.019387359441644,0.0102530824140169,0.0206921155904388,0.0191930741587716
"103","JACKSON SOUTH MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9992",100208,1960,"0.3045185266896505649906236300",6569,"0.2422098505555266727652371200",3.3515306122449,78220830,"0.1981734336232433347814523000",39908.5867346939,115,125,568,438,350,364,"Miami-Dade",0,0.0586734693877551,0.289795918367347,0.178571428571429,0.0637755102040816,0.223469387755102,0.185714285714286,0.0145606482653836,0.0245749145502531,0.0339278790228771,0.0162232316677482,0.039065287192294,0.0297288467820974
"104","JAY HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9866",100048,35,"0.0054378308337437600891182800",137,"0.0050514156684589974377892400",3.91428571428571,638118,"0.0016166797912627210719199800",18231.9428571429,0,0,0,0,0,0,"Santa Rosa",0,0,0,0,0,0,0,0,0,0,0,0,0
"105","JFK MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9895",100080,4756,"0.7389235270081520852527581500",18796,"0.6930394810536884367933318400",3.95206055508831,514607197,"1.3037636547288338229192374600",108201.681455004,204,202,1253,1035,893,1169,"Palm Beach",0,0.0428931875525652,0.263456686291001,0.187762825904121,0.0424726661059714,0.217619848612279,0.245794785534062,0.0297202797202797,0.0789440524193548,0.129551719135355,0.031024420211949,0.155079412646089,0.147414880201765
